Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
custom-configurator-order,Custom Configurator Order,"<p>Custom Besu Customs configured product. Final artwork, roster, sizing, and production details are submitted from the 3D configurator.</p>",Besu Customs,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms,Custom Configurator,"Configurator, Custom Order, Made to Order",true,Size,Youth Small,product.metafields.shopify.size,,,,,,,CUSTOM-CONFIGURATOR-YOUTH-SMALL,907.18474,shopify,continue,manual,65.00,,true,true,,,,,,,,,false,Custom Configurator Order,Custom Besu Customs configured product checkout item.,,,,,youth-small; youth-medium; youth-large; adult-x-small; adult-small; adult-medium; adult-large; adult-x-large; adult-2xl; adult-3xl,,unisex,,,lb,,,true,,,true,,,active
custom-configurator-order,,,,,,,,Size,Youth Medium,product.metafields.shopify.size,,,,,,,CUSTOM-CONFIGURATOR-YOUTH-MEDIUM,907.18474,shopify,continue,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
custom-configurator-order,,,,,,,,Size,Youth Large,product.metafields.shopify.size,,,,,,,CUSTOM-CONFIGURATOR-YOUTH-LARGE,907.18474,shopify,continue,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
custom-configurator-order,,,,,,,,Size,Adult X-Small,product.metafields.shopify.size,,,,,,,CUSTOM-CONFIGURATOR-ADULT-X-SMALL,907.18474,shopify,continue,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
custom-configurator-order,,,,,,,,Size,Adult Small,product.metafields.shopify.size,,,,,,,CUSTOM-CONFIGURATOR-ADULT-SMALL,907.18474,shopify,continue,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
custom-configurator-order,,,,,,,,Size,Adult Medium,product.metafields.shopify.size,,,,,,,CUSTOM-CONFIGURATOR-ADULT-MEDIUM,907.18474,shopify,continue,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
custom-configurator-order,,,,,,,,Size,Adult Large,product.metafields.shopify.size,,,,,,,CUSTOM-CONFIGURATOR-ADULT-LARGE,907.18474,shopify,continue,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
custom-configurator-order,,,,,,,,Size,Adult X-Large,product.metafields.shopify.size,,,,,,,CUSTOM-CONFIGURATOR-ADULT-X-LARGE,907.18474,shopify,continue,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
custom-configurator-order,,,,,,,,Size,Adult 2XL,product.metafields.shopify.size,,,,,,,CUSTOM-CONFIGURATOR-ADULT-2XL,907.18474,shopify,continue,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
custom-configurator-order,,,,,,,,Size,Adult 3XL,product.metafields.shopify.size,,,,,,,CUSTOM-CONFIGURATOR-ADULT-3XL,907.18474,shopify,continue,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
