Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Inventory Qty,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
backpack,Backpack,<p>Custom Besu Customs Backpack configured in the 3D configurator.</p>,Besu Customs,,Bags,"Configurator, Bags, Custom Order, Made to Order",true,Title,Default Title,,,,,,,,BACKPACK-DEFAULT-TITLE,907.18474,shopify,continue,999,manual,50.00,,true,true,,,,,,,,,false,Backpack,Custom Besu Customs Backpack checkout item.,,,,,,,unisex,,,lb,,,true,,,true,,,active
baseball-caps,Baseball Caps,<p>Custom Besu Customs Baseball Caps configured in the 3D configurator.</p>,Besu Customs,,Caps,"Configurator, Caps, Custom Order, Made to Order",true,Title,Default Title,,,,,,,,BASEBALL-CAPS-DEFAULT-TITLE,226.796,shopify,continue,999,manual,20.00,,true,true,,,,,,,,,false,Baseball Caps,Custom Besu Customs Baseball Caps checkout item.,,,,,,,unisex,,,lb,,,true,,,true,,,active
baseball-jersey,Baseball Jersey,<p>Custom Besu Customs Baseball Jersey configured in the 3D configurator.</p>,Besu Customs,,Baseball Uniforms,"Configurator, Baseball, Custom Order, Made to Order",true,Size,Youth Small,product.metafields.shopify.size,,,,,,,BASEBALL-JERSEY-YOUTH-SMALL,453.59237,shopify,continue,999,manual,45.00,,true,true,,,,,,,,,false,Baseball Jersey,Custom Besu Customs Baseball Jersey checkout item.,,,,,youth-small; youth-medium; youth-large; adult-x-small; adult-small; adult-medium; adult-large; adult-x-large; adult-2xl; adult-3xl,,unisex,,,lb,,,true,,,true,,,active
baseball-jersey,,,,,,,,Size,Youth Medium,product.metafields.shopify.size,,,,,,,BASEBALL-JERSEY-YOUTH-MEDIUM,453.59237,shopify,continue,999,manual,45.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
baseball-jersey,,,,,,,,Size,Youth Large,product.metafields.shopify.size,,,,,,,BASEBALL-JERSEY-YOUTH-LARGE,453.59237,shopify,continue,999,manual,45.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
baseball-jersey,,,,,,,,Size,Adult X-Small,product.metafields.shopify.size,,,,,,,BASEBALL-JERSEY-ADULT-X-SMALL,453.59237,shopify,continue,999,manual,45.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
baseball-jersey,,,,,,,,Size,Adult Small,product.metafields.shopify.size,,,,,,,BASEBALL-JERSEY-ADULT-SMALL,453.59237,shopify,continue,999,manual,45.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
baseball-jersey,,,,,,,,Size,Adult Medium,product.metafields.shopify.size,,,,,,,BASEBALL-JERSEY-ADULT-MEDIUM,453.59237,shopify,continue,999,manual,45.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
baseball-jersey,,,,,,,,Size,Adult Large,product.metafields.shopify.size,,,,,,,BASEBALL-JERSEY-ADULT-LARGE,453.59237,shopify,continue,999,manual,45.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
baseball-jersey,,,,,,,,Size,Adult X-Large,product.metafields.shopify.size,,,,,,,BASEBALL-JERSEY-ADULT-X-LARGE,453.59237,shopify,continue,999,manual,45.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
baseball-jersey,,,,,,,,Size,Adult 2XL,product.metafields.shopify.size,,,,,,,BASEBALL-JERSEY-ADULT-2XL,453.59237,shopify,continue,999,manual,45.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
baseball-jersey,,,,,,,,Size,Adult 3XL,product.metafields.shopify.size,,,,,,,BASEBALL-JERSEY-ADULT-3XL,453.59237,shopify,continue,999,manual,45.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-jersey,Basketball Jersey and Shorts,<p>Custom Besu Customs Basketball Jersey and Shorts configured in the 3D configurator.</p>,Besu Customs,,Basketball Uniforms,"Configurator, Jerseys, Custom Order, Made to Order",true,Size,Youth Small,product.metafields.shopify.size,,,,,,,BASKETBALL-JERSEY-YOUTH-SMALL,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,false,Basketball Jersey and Shorts,Custom Besu Customs Basketball Jersey and Shorts checkout item.,,,,,youth-small; youth-medium; youth-large; adult-x-small; adult-small; adult-medium; adult-large; adult-x-large; adult-2xl; adult-3xl,,unisex,,,lb,,,true,,,true,,,active
basketball-jersey,,,,,,,,Size,Youth Medium,product.metafields.shopify.size,,,,,,,BASKETBALL-JERSEY-YOUTH-MEDIUM,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-jersey,,,,,,,,Size,Youth Large,product.metafields.shopify.size,,,,,,,BASKETBALL-JERSEY-YOUTH-LARGE,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-jersey,,,,,,,,Size,Adult X-Small,product.metafields.shopify.size,,,,,,,BASKETBALL-JERSEY-ADULT-X-SMALL,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-jersey,,,,,,,,Size,Adult Small,product.metafields.shopify.size,,,,,,,BASKETBALL-JERSEY-ADULT-SMALL,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-jersey,,,,,,,,Size,Adult Medium,product.metafields.shopify.size,,,,,,,BASKETBALL-JERSEY-ADULT-MEDIUM,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-jersey,,,,,,,,Size,Adult Large,product.metafields.shopify.size,,,,,,,BASKETBALL-JERSEY-ADULT-LARGE,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-jersey,,,,,,,,Size,Adult X-Large,product.metafields.shopify.size,,,,,,,BASKETBALL-JERSEY-ADULT-X-LARGE,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-jersey,,,,,,,,Size,Adult 2XL,product.metafields.shopify.size,,,,,,,BASKETBALL-JERSEY-ADULT-2XL,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-jersey,,,,,,,,Size,Adult 3XL,product.metafields.shopify.size,,,,,,,BASKETBALL-JERSEY-ADULT-3XL,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-top-long,Basketball Jersey Top And Long Shorts,<p>Custom Besu Customs Basketball Jersey Top And Long Shorts configured in the 3D configurator.</p>,Besu Customs,,Basketball Uniforms,"Configurator, Jerseys, Custom Order, Made to Order",true,Size,Youth Small,product.metafields.shopify.size,,,,,,,BASKETBALL-TOP-LONG-YOUTH-SMALL,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,false,Basketball Jersey Top And Long Shorts,Custom Besu Customs Basketball Jersey Top And Long Shorts checkout item.,,,,,youth-small; youth-medium; youth-large; adult-x-small; adult-small; adult-medium; adult-large; adult-x-large; adult-2xl; adult-3xl,,unisex,,,lb,,,true,,,true,,,active
basketball-top-long,,,,,,,,Size,Youth Medium,product.metafields.shopify.size,,,,,,,BASKETBALL-TOP-LONG-YOUTH-MEDIUM,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-top-long,,,,,,,,Size,Youth Large,product.metafields.shopify.size,,,,,,,BASKETBALL-TOP-LONG-YOUTH-LARGE,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-top-long,,,,,,,,Size,Adult X-Small,product.metafields.shopify.size,,,,,,,BASKETBALL-TOP-LONG-ADULT-X-SMALL,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-top-long,,,,,,,,Size,Adult Small,product.metafields.shopify.size,,,,,,,BASKETBALL-TOP-LONG-ADULT-SMALL,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-top-long,,,,,,,,Size,Adult Medium,product.metafields.shopify.size,,,,,,,BASKETBALL-TOP-LONG-ADULT-MEDIUM,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-top-long,,,,,,,,Size,Adult Large,product.metafields.shopify.size,,,,,,,BASKETBALL-TOP-LONG-ADULT-LARGE,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-top-long,,,,,,,,Size,Adult X-Large,product.metafields.shopify.size,,,,,,,BASKETBALL-TOP-LONG-ADULT-X-LARGE,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
basketball-top-long,,,,,,,,Size,Adult 2XL,product.metafields.shopify.size,,,,,,,BASKETBALL-TOP-LONG-ADULT-2XL,453.59237,shopify,continue,999,manual,49.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,
