Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Location,Bin name,On hand (current),On hand (new)
configurator-backpack,Backpack,Title,Default Title,,,,,CONFIGURATOR-BACKPACK-DEFAULT-TITLE,1000 Brickell Avenue,,,9999999
configurator-backpack,Backpack,Title,Default Title,,,,,CONFIGURATOR-BACKPACK-DEFAULT-TITLE,Henry H Filer Middle School,,,9999999
configurator-backpack,Backpack,Title,Default Title,,,,,CONFIGURATOR-BACKPACK-DEFAULT-TITLE,Rockway Middle School,,,9999999
configurator-backpack,Backpack,Title,Default Title,,,,,CONFIGURATOR-BACKPACK-DEFAULT-TITLE,Shenandoah Middle School,,,9999999
configurator-backpack,Backpack,Title,Default Title,,,,,CONFIGURATOR-BACKPACK-DEFAULT-TITLE,True North Classical Academy,,,9999999
configurator-baseball-caps,Baseball Caps,Title,Default Title,,,,,CONFIGURATOR-BASEBALL-CAPS-DEFAULT-TITLE,1000 Brickell Avenue,,,9999999
configurator-baseball-caps,Baseball Caps,Title,Default Title,,,,,CONFIGURATOR-BASEBALL-CAPS-DEFAULT-TITLE,Henry H Filer Middle School,,,9999999
configurator-baseball-caps,Baseball Caps,Title,Default Title,,,,,CONFIGURATOR-BASEBALL-CAPS-DEFAULT-TITLE,Rockway Middle School,,,9999999
configurator-baseball-caps,Baseball Caps,Title,Default Title,,,,,CONFIGURATOR-BASEBALL-CAPS-DEFAULT-TITLE,Shenandoah Middle School,,,9999999
configurator-baseball-caps,Baseball Caps,Title,Default Title,,,,,CONFIGURATOR-BASEBALL-CAPS-DEFAULT-TITLE,True North Classical Academy,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Small,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-SMALL,1000 Brickell Avenue,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Small,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-SMALL,Henry H Filer Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Small,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-SMALL,Rockway Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Small,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-SMALL,Shenandoah Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Small,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-SMALL,True North Classical Academy,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Medium,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-MEDIUM,1000 Brickell Avenue,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Medium,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-MEDIUM,Henry H Filer Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Medium,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-MEDIUM,Rockway Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Medium,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-MEDIUM,Shenandoah Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Medium,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-MEDIUM,True North Classical Academy,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-LARGE,1000 Brickell Avenue,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-LARGE,Henry H Filer Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-LARGE,Rockway Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Youth Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-LARGE,Shenandoah Middle School,,,9999999
