Handle,Title,Variant Option Name,Variant Option Value,Configurator Payload Example
sports-bag-bc-0452,Sports Bag- BC-0452,Title,Default Title,{ productHandle: 'sports-bag-bc-0452' }
sports-bag-bc-0451,Sports Bag- BC-0451,Title,Default Title,{ productHandle: 'sports-bag-bc-0451' }
sports-bag-bc-0450,Sports Bag- BC-0450,Title,Default Title,{ productHandle: 'sports-bag-bc-0450' }
sports-bag-bc-0449,Sports Bag- BC-0449,Title,Default Title,{ productHandle: 'sports-bag-bc-0449' }
sports-bag-bc-0448,Sports Bag- BC-0448,Title,Default Title,{ productHandle: 'sports-bag-bc-0448' }
sports-bag-bc-0447,Sports Bag- BC-0447,Title,Default Title,{ productHandle: 'sports-bag-bc-0447' }
sports-bag-product-code-bc-0446,Sports Bag- BC-0446,Title,Default Title,{ productHandle: 'sports-bag-product-code-bc-0446' }
sports-bag-bc-0445,Sports Bag- BC-0445,Title,Default Title,{ productHandle: 'sports-bag-bc-0445' }
sports-bag-bc-0444,Sports Bag- BC-0444,Title,Default Title,{ productHandle: 'sports-bag-bc-0444' }
sports-bag-bc-0443,Sports Bag- BC-0443,Title,Default Title,{ productHandle: 'sports-bag-bc-0443' }
face-mask-ski-mask-bc-0135,Face Mask / Ski Mask- BC-0135,Title,Default Title,{ productHandle: 'face-mask-ski-mask-bc-0135' }
face-mask-ski-mask-bc-0134,Face Mask / Ski Mask- BC-0134,Title,Default Title,{ productHandle: 'face-mask-ski-mask-bc-0134' }
face-mask-ski-mask-bc-0133,Face Mask / Ski Mask- BC-0133,Title,Default Title,{ productHandle: 'face-mask-ski-mask-bc-0133' }
face-mask-ski-mask-bc-0132,Face Mask / Ski Mask- BC-0132,Title,Default Title,{ productHandle: 'face-mask-ski-mask-bc-0132' }
face-mask-ski-mask-bc-0131,Face Mask / Ski Mask- BC-0131,Title,Default Title,{ productHandle: 'face-mask-ski-mask-bc-0131' }
face-mask-ski-mask-bc-0130,Face Mask / Ski Mask- BC-0130,Title,Default Title,{ productHandle: 'face-mask-ski-mask-bc-0130' }
face-mask-ski-mask-bc-0129,Face Mask / Ski Mask- BC-0129,Title,Default Title,{ productHandle: 'face-mask-ski-mask-bc-0129' }
face-mask-ski-mask-bc-0128,Face Mask / Ski Mask- BC-0128,Title,Default Title,{ productHandle: 'face-mask-ski-mask-bc-0128' }
face-mask-ski-mask-bc-0127,Face Mask / Ski Mask- BC-0127,Title,Default Title,{ productHandle: 'face-mask-ski-mask-bc-0127' }
face-mask-ski-mask-bc-0126,Face Mask / Ski Mask- BC-0126,Title,Default Title,{ productHandle: 'face-mask-ski-mask-bc-0126' }
face-mask-ski-mask-bc-0125,Face Mask / Ski Mask- BC-0125,Title,Default Title,{ productHandle: 'face-mask-ski-mask-bc-0125' }
cycling-gloves-bc-0124,Cycling Gloves- BC-0124,Size,Small,"{ productHandle: 'cycling-gloves-bc-0124', size: 'Small' }"
cycling-gloves-bc-0124,Cycling Gloves- BC-0124,Size,Medium,"{ productHandle: 'cycling-gloves-bc-0124', size: 'Medium' }"
cycling-gloves-bc-0124,Cycling Gloves- BC-0124,Size,Large,"{ productHandle: 'cycling-gloves-bc-0124', size: 'Large' }"
cycling-gloves-bc-0124,Cycling Gloves- BC-0124,Size,X-Large,"{ productHandle: 'cycling-gloves-bc-0124', size: 'X-Large' }"
cycling-gloves-bc-0123,Cycling Gloves- BC-0123,Size,Small,"{ productHandle: 'cycling-gloves-bc-0123', size: 'Small' }"
cycling-gloves-bc-0123,Cycling Gloves- BC-0123,Size,Medium,"{ productHandle: 'cycling-gloves-bc-0123', size: 'Medium' }"
cycling-gloves-bc-0123,Cycling Gloves- BC-0123,Size,Large,"{ productHandle: 'cycling-gloves-bc-0123', size: 'Large' }"
cycling-gloves-bc-0123,Cycling Gloves- BC-0123,Size,X-Large,"{ productHandle: 'cycling-gloves-bc-0123', size: 'X-Large' }"
cycling-gloves-bc-0122,Cycling Gloves- BC-0122,Size,Small,"{ productHandle: 'cycling-gloves-bc-0122', size: 'Small' }"
