Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
configurator-backpack,Backpack,<p>Custom Besu Customs Backpack configured in the 3D configurator.</p>,Besu Customs,Bags,"Configurator, Bags, Custom Order, Made to Order, Configurator Checkout",TRUE,Title,Default Title,CONFIGURATOR-BACKPACK-DEFAULT-TITLE,907.18474,,,continue,manual,50.00,TRUE,TRUE,https://c3e270-bf.myshopify.com/cdn/shop/files/BESU_CUSTOMS_LOGO_03810b1c-fd52-48b7-bb07-96e4843b2df2.png?v=1758320790,1,Backpack - Besu Customs,active
configurator-baseball-caps,Baseball Caps,<p>Custom Besu Customs Baseball Caps configured in the 3D configurator.</p>,Besu Customs,Caps,"Configurator, Caps, Custom Order, Made to Order, Configurator Checkout",TRUE,Title,Default Title,CONFIGURATOR-BASEBALL-CAPS-DEFAULT-TITLE,226.796,,,continue,manual,20.00,TRUE,TRUE,https://c3e270-bf.myshopify.com/cdn/shop/files/BESU_CUSTOMS_LOGO_03810b1c-fd52-48b7-bb07-96e4843b2df2.png?v=1758320790,1,Baseball Caps - Besu Customs,active
configurator-baseball-jersey,Baseball Jersey,<p>Custom Besu Customs Baseball Jersey configured in the 3D configurator.</p>,Besu Customs,Baseball Uniforms,"Configurator, Baseball, Custom Order, Made to Order, Configurator Checkout",TRUE,Size,Youth Small,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-SMALL,453.59237,,,continue,manual,45.00,TRUE,TRUE,https://c3e270-bf.myshopify.com/cdn/shop/files/BESU_CUSTOMS_LOGO_03810b1c-fd52-48b7-bb07-96e4843b2df2.png?v=1758320790,1,Baseball Jersey - Besu Customs,active
configurator-baseball-jersey,,,Besu Customs,,,TRUE,Size,Youth Medium,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-MEDIUM,453.59237,,,continue,manual,45.00,TRUE,TRUE,,,,active
configurator-baseball-jersey,,,Besu Customs,,,TRUE,Size,Youth Large,CONFIGURATOR-BASEBALL-JERSEY-YOUTH-LARGE,453.59237,,,continue,manual,45.00,TRUE,TRUE,,,,active
configurator-baseball-jersey,,,Besu Customs,,,TRUE,Size,Adult X-Small,CONFIGURATOR-BASEBALL-JERSEY-ADULT-X-SMALL,453.59237,,,continue,manual,45.00,TRUE,TRUE,,,,active
configurator-baseball-jersey,,,Besu Customs,,,TRUE,Size,Adult Small,CONFIGURATOR-BASEBALL-JERSEY-ADULT-SMALL,453.59237,,,continue,manual,45.00,TRUE,TRUE,,,,active
configurator-baseball-jersey,,,Besu Customs,,,TRUE,Size,Adult Medium,CONFIGURATOR-BASEBALL-JERSEY-ADULT-MEDIUM,453.59237,,,continue,manual,45.00,TRUE,TRUE,,,,active
configurator-baseball-jersey,,,Besu Customs,,,TRUE,Size,Adult Large,CONFIGURATOR-BASEBALL-JERSEY-ADULT-LARGE,453.59237,,,continue,manual,45.00,TRUE,TRUE,,,,active
configurator-baseball-jersey,,,Besu Customs,,,TRUE,Size,Adult X-Large,CONFIGURATOR-BASEBALL-JERSEY-ADULT-X-LARGE,453.59237,,,continue,manual,45.00,TRUE,TRUE,,,,active
configurator-baseball-jersey,,,Besu Customs,,,TRUE,Size,Adult 2XL,CONFIGURATOR-BASEBALL-JERSEY-ADULT-2XL,453.59237,,,continue,manual,45.00,TRUE,TRUE,,,,active
configurator-baseball-jersey,,,Besu Customs,,,TRUE,Size,Adult 3XL,CONFIGURATOR-BASEBALL-JERSEY-ADULT-3XL,453.59237,,,continue,manual,45.00,TRUE,TRUE,,,,active
configurator-basketball-jersey,Basketball Jersey and Shorts,<p>Custom Besu Customs Basketball Jersey and Shorts configured in the 3D configurator.</p>,Besu Customs,Basketball Uniforms,"Configurator, Jerseys, Custom Order, Made to Order, Configurator Checkout",TRUE,Size,Youth Small,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-SMALL,453.59237,,,continue,manual,49.00,TRUE,TRUE,https://c3e270-bf.myshopify.com/cdn/shop/files/BESU_CUSTOMS_LOGO_03810b1c-fd52-48b7-bb07-96e4843b2df2.png?v=1758320790,1,Basketball Jersey and Shorts - Besu Customs,active
configurator-basketball-jersey,,,Besu Customs,,,TRUE,Size,Youth Medium,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-MEDIUM,453.59237,,,continue,manual,49.00,TRUE,TRUE,,,,active
configurator-basketball-jersey,,,Besu Customs,,,TRUE,Size,Youth Large,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-LARGE,453.59237,,,continue,manual,49.00,TRUE,TRUE,,,,active
configurator-basketball-jersey,,,Besu Customs,,,TRUE,Size,Adult X-Small,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-X-SMALL,453.59237,,,continue,manual,49.00,TRUE,TRUE,,,,active
